ID,Type,English_Source,Human_Reference,Model_Output,Model,Adequacy,Fluency,Faithfulness,Human_Overall,BLEU,chrF++,BERTScore_F1
S3,Formal/Geography,"The Himalayan kingdom of Bhutan has a unique approach to measuring national progress, using Gross National Happiness instead of Gross Domestic Product.","हिमालयी राज्य भूटान राष्ट्रीय प्रगति मापने के लिए एक अनूठा दृष्टिकोण अपनाता है, सकल घरेलू उत्पाद की बजाय सकल राष्ट्रीय प्रसन्नता का उपयोग करते हुए।","भूटान के हिमालयी राज्य में राष्ट्रीय प्रगति को मापने के लिए एक अनूठा दृष्टिकोण है, जिसमें सकल घरेलू उत्पाद के बजाय सकल राष्ट्रीय खुशी का उपयोग किया जाता है।",NLLB_200,3.8,4.4,4.0,4.07,29.4,67.74,90.56
S4,Formal/News,The government has announced a new economic policy aimed at boosting growth in rural areas and reducing income inequality across the country.,सरकार ने ग्रामीण क्षेत्रों में विकास को बढ़ावा देने और देश भर में आय असमानता को कम करने के उद्देश्य से एक नई आर्थिक नीति की घोषणा की है।,सरकार ने ग्रामीण क्षेत्रों में विकास को बढ़ावा देने और देश भर में आय असमानता को कम करने के लिए एक नई आर्थिक नीति की घोषणा की है।,NLLB_200,4.6,4.6,4.6,4.6,87.09,89.94,96.25
S5,Formal/News,"Thousands of protesters gathered in the capital city on Friday, demanding immediate political reforms and accountability from elected officials.",हज़ारों प्रदर्शनकारी शुक्रवार को राजधानी में एकत्र हुए और तत्काल राजनीतिक सुधारों तथा निर्वाचित अधिकारियों से जवाबदेही की माँग की।,"हजारों प्रदर्शनकारी शुक्रवार को राजधानी में इकट्ठा हुए, तत्काल राजनीतिक सुधारों और निर्वाचित अधिकारियों से जवाबदेही की मांग करते हुए।",NLLB_200,4.0,3.6,4.4,4.0,41.35,75.05,93.07
S6,Conversational,"Yaar, the cricket match last night was absolutely lit — our team totally crushed it!","यार, कल रात का क्रिकेट मैच एकदम ज़बरदस्त था — हमारी टीम ने कमाल कर दिया!","यार, कल रात का क्रिकेट मैच बिल्कुल चमक गया था  हमारी टीम ने इसे पूरी तरह से कुचल दिया!",NLLB_200,2.6,3.2,2.8,2.87,37.39,56.19,86.89
S7,Idiomatic,"It has been raining cats and dogs since morning, so I decided to stay indoors.","बाहर सुबह से मूसलाधार बारिश हो रही है, इसलिए मैंने घर के अंदर ही रहने का फैसला किया।","सुबह से ही बिल्लियों और कुत्तों के लिए बारिश हो रही है, इसलिए मैंने घर के अंदर रहने का फैसला किया।",NLLB_200,2.2,4.2,2.2,2.87,56.33,71.71,89.57
S8,Idiomatic,You shouldn't judge a book by its cover.,किसी को केवल उसके बाहरी रूप से नहीं आंकना चाहिए।,आपको किसी पुस्तक का आकलन उसके कवर से नहीं करना चाहिए।,NLLB_200,4.2,4.2,4.2,4.2,9.43,36.5,80.74
S1,Formal/Science,"On Monday, scientists at the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printed chip that can be manufactured using standard inkjet printers for about one US cent each.","सोमवार को, स्टैनफोर्ड विश्वविद्यालय के चिकित्सा विद्यालय के वैज्ञानिकों ने एक नए नैदानिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के अनुसार छाँट सकता है।","Pazartesi को स्टैनफोर्ड विश्वविद्यालय चिकित्सा विद्यालय के वैज्ञानिकों ने एक नई निदान उपकरण की खोज की घोषणा की, जो कोशिकाओं को प्रकार के अनुसार वर्गीकृत कर सकती है: एक छोटा मुद्रित चिप जो मानक इंकजेट प्रिंटर के प्रयोग से प्रति एक अमरीकी सेंट के लिए तैयार किया जा सकता है।",mBART_50,3.2,2.8,2.4,2.8,17.82,59.96,81.19
S2,Formal/Science,"Writing in the journal Science, the team describes how the chip can separate white blood cells from red blood cells in less than ten minutes.","साइंस पत्रिका में लिखते हुए, टीम ने बताया कि यह चिप दस मिनट से कम समय में लाल रक्त कोशिकाओं से श्वेत रक्त कोशिकाओं को अलग कर सकती है।",विज्ञान पत्रिका में लिखते हुए टीम ने बताया है कि यह चिप 10 मिनट से कम में सफेद रक्त कोशिकाओं से लाल रक्त कोशिकाओं को अलग कैसे कर सकती है।,mBART_50,3.6,3.8,3.2,3.53,33.72,69.72,92.57
S3,Formal/Geography,"The Himalayan kingdom of Bhutan has a unique approach to measuring national progress, using Gross National Happiness instead of Gross Domestic Product.","हिमालयी राज्य भूटान राष्ट्रीय प्रगति मापने के लिए एक अनूठा दृष्टिकोण अपनाता है, सकल घरेलू उत्पाद की बजाय सकल राष्ट्रीय प्रसन्नता का उपयोग करते हुए।","भूटान की हिमालयी रियासत की राष्ट्रीय प्रगति को मापने का एक विशिष्ट दृष्टिकोण है, जिसका प्रयोग Gross National Happiness को Gross Domestic Product के स्थान पर किया जाता है।",mBART_50,4.0,3.8,3.2,3.67,4.62,32.23,79.61
S4,Formal/News,The government has announced a new economic policy aimed at boosting growth in rural areas and reducing income inequality across the country.,सरकार ने ग्रामीण क्षेत्रों में विकास को बढ़ावा देने और देश भर में आय असमानता को कम करने के उद्देश्य से एक नई आर्थिक नीति की घोषणा की है।,सरकार ने ग्रामीण क्षेत्रों में विकास को बढ़ावा देने तथा देश भर में आय असमानता को कम करने के उद्देश्य से एक नई आर्थिक नीति की घोषणा की है।,mBART_50,4.0,3.8,4.2,4.0,90.62,95.32,99.84
S5,Formal/News,"Thousands of protesters gathered in the capital city on Friday, demanding immediate political reforms and accountability from elected officials.",हज़ारों प्रदर्शनकारी शुक्रवार को राजधानी में एकत्र हुए और तत्काल राजनीतिक सुधारों तथा निर्वाचित अधिकारियों से जवाबदेही की माँग की।,हजारों विरोधियों ने कल राजधानी में एकत्रित होकर तत्काल राजनीतिक सुधारों और निर्वाचित अधिकारियों से जवाबदेही की मांग की।,mBART_50,4.0,4.0,3.2,3.73,27.66,60.12,89.32
S6,Conversational,"Yaar, the cricket match last night was absolutely lit — our team totally crushed it!","यार, कल रात का क्रिकेट मैच एकदम ज़बरदस्त था — हमारी टीम ने कमाल कर दिया!","यर, कल रात की क्रिकेट मैच पूरी तरह से चमकी थी-हमारे टीम减पूरी तरह से हार डाला!",mBART_50,2.0,2.2,1.8,2.0,10.52,31.43,83.38
S7,Idiomatic,"It has been raining cats and dogs since morning, so I decided to stay indoors.","बाहर सुबह से मूसलाधार बारिश हो रही है, इसलिए मैंने घर के अंदर ही रहने का फैसला किया।","सुबह से कुत्तों और बिल्लीों की बारिश हो रही है, इसलिए मैंने घर में रहने का फैसला किया।",mBART_50,1.2,3.4,1.2,1.93,53.09,64.05,88.7
S8,Idiomatic,You shouldn't judge a book by its cover.,किसी को केवल उसके बाहरी रूप से नहीं आंकना चाहिए।,किसी किताब को उसकी आवरण के आधार पर नहीं जाँचना चाहिए।,mBART_50,3.2,3.4,3.4,3.33,5.3,30.26,82.28
